symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-08-11 00:00:00+00:00,107.93,108.93,107.85,108.52,27484506,25.3816108691,25.6167782078,25.362797482,25.520359599,109938024,0.0,1.0
AAPL,2016-08-12 00:00:00+00:00,108.18,108.44,107.78,107.78,18660434,25.4404027038,25.5015462119,25.3463357683,25.3463357683,74641736,0.0,1.0
AAPL,2016-08-15 00:00:00+00:00,109.48,109.54,108.08,108.14,25868209,25.7461202441,25.7602302845,25.4168859699,25.4309960102,103472836,0.0,1.0
AAPL,2016-08-16 00:00:00+00:00,109.38,110.23,109.21,109.63,33794448,25.7226035103,25.9224957482,25.6826250627,25.7813953449,135177792,0.0,1.0
AAPL,2016-08-17 00:00:00+00:00,109.22,109.37,108.34,109.1,25355976,25.6849767361,25.7202518369,25.478029478,25.6567566554,101423904,0.0,1.0
AAPL,2016-08-18 00:00:00+00:00,109.08,109.6,109.02,109.23,21984703,25.6520533086,25.7743403248,25.6379432683,25.6873284095,87938812,0.0,1.0
AAPL,2016-08-19 00:00:00+00:00,109.36,109.69,108.36,108.77,25368072,25.7179001635,25.7955053853,25.4827328248,25.5791514336,101472288,0.0,1.0
AAPL,2016-08-22 00:00:00+00:00,108.51,109.1,107.85,108.86,25820230,25.5180079256,25.6567566554,25.362797482,25.6003164941,103280920,0.0,1.0
AAPL,2016-08-23 00:00:00+00:00,108.85,109.32,108.53,108.59,21257669,25.5979648207,25.7084934699,25.5227112723,25.5368213127,85030676,0.0,1.0
AAPL,2016-08-24 00:00:00+00:00,108.03,108.75,107.68,108.565,23675081,25.405127603,25.5744480869,25.3228190344,25.5309421292,94700324,0.0,1.0
AAPL,2016-08-25 00:00:00+00:00,107.57,107.88,106.68,107.39,25086248,25.2969506272,25.3698525022,25.0876516957,25.2546205062,100344992,0.0,1.0
AAPL,2016-08-26 00:00:00+00:00,106.94,107.95,106.31,107.41,27766291,25.1487952038,25.3863142159,25.0006397804,25.259323853,111065164,0.0,1.0
AAPL,2016-08-29 00:00:00+00:00,106.82,107.44,106.29,106.62,24970300,25.1205751231,25.2663788731,24.9959364336,25.0735416554,99881200,0.0,1.0
AAPL,2016-08-30 00:00:00+00:00,106.0,106.5,105.5,105.8,24863945,24.9277379054,25.0453215747,24.810154236,24.8807044376,99455780,0.0,1.0
AAPL,2016-08-31 00:00:00+00:00,106.1,106.5699,105.64,105.66,29662406,24.9512546392,25.0617597717,24.8430776634,24.8477810102,118649624,0.0,1.0
AAPL,2016-09-01 00:00:00+00:00,106.73,106.8,105.62,106.14,26701523,25.0994100626,25.1158717763,24.8383743166,24.9606613328,106806092,0.0,1.0
AAPL,2016-09-02 00:00:00+00:00,107.73,108.0,106.82,107.7,26802450,25.3345774014,25.3980725828,25.1205751231,25.3275223812,107209800,0.0,1.0
AAPL,2016-09-06 00:00:00+00:00,107.7,108.3,107.51,107.9,26880391,25.3275223812,25.4686227844,25.2828405868,25.3745558489,107521564,0.0,1.0
AAPL,2016-09-07 00:00:00+00:00,108.36,108.76,107.07,107.83,42364328,25.4827328248,25.5767997603,25.1793669578,25.3580941352,169457312,0.0,1.0
AAPL,2016-09-08 00:00:00+00:00,105.52,107.27,105.24,107.25,53002026,24.8148575828,25.2264004255,24.7490107279,25.2216970788,212008104,0.0,1.0
AAPL,2016-09-09 00:00:00+00:00,103.13,105.72,103.13,104.64,46556984,24.2528076432,24.8618910505,24.2528076432,24.6079103247,186227936,0.0,1.0
AAPL,2016-09-12 00:00:00+00:00,105.44,105.72,102.53,102.65,45292770,24.7960441957,24.8618910505,24.11170724,24.1399273206,181171080,0.0,1.0
AAPL,2016-09-13 00:00:00+00:00,107.95,108.79,107.24,107.51,62176190,25.3863142159,25.5838547804,25.2193454054,25.2828405868,248704760,0.0,1.0
AAPL,2016-09-14 00:00:00+00:00,111.77,113.03,108.6,108.73,112340318,26.2846534498,26.5809642966,25.5391729861,25.5697447401,449361272,0.0,1.0
AAPL,2016-09-15 00:00:00+00:00,115.57,115.73,113.49,113.86,90613177,27.178289337,27.2159161112,26.6891412724,26.7761531878,362452708,0.0,1.0
AAPL,2016-09-16 00:00:00+00:00,114.92,116.13,114.04,115.12,79886911,27.0254305668,27.3099830467,26.8184833087,27.0724640346,319547644,0.0,1.0
AAPL,2016-09-19 00:00:00+00:00,113.58,116.18,113.25,115.19,47023046,26.7103063329,27.3217414136,26.6327011111,27.0889257483,188092184,0.0,1.0
AAPL,2016-09-20 00:00:00+00:00,113.57,114.12,112.51,113.05,34514269,26.7079546595,26.8372966958,26.4586772805,26.5856676434,138057076,0.0,1.0
AAPL,2016-09-21 00:00:00+00:00,113.55,113.989,112.441,113.85,36003185,26.7032513128,26.8064897745,26.4424507341,26.7738015144,144012740,0.0,1.0
AAPL,2016-09-22 00:00:00+00:00,114.62,114.94,114.0,114.35,31073984,26.9548803652,27.0301339136,26.8090766152,26.8913851838,124295936,0.0,1.0
AAPL,2016-09-23 00:00:00+00:00,112.71,114.79,111.55,114.42,52481151,26.5057107482,26.9948588128,26.2329166353,26.9078468975,209924604,0.0,1.0
AAPL,2016-09-26 00:00:00+00:00,112.88,113.39,111.55,111.64,29869442,26.5456891958,26.6656245386,26.2329166353,26.2540816958,119477768,0.0,1.0
AAPL,2016-09-27 00:00:00+00:00,113.09,113.18,112.34,113.0,24607412,26.595074337,26.6162393974,26.4186988329,26.5739092765,98429648,0.0,1.0
AAPL,2016-09-28 00:00:00+00:00,113.95,114.64,113.43,113.69,29641085,26.7973182483,26.959583712,26.6750312321,26.7361747402,118564340,0.0,1.0
AAPL,2016-09-29 00:00:00+00:00,112.18,113.8,111.8,113.16,35886990,26.3810720587,26.7620431474,26.29170847,26.6115360507,143547960,0.0,1.0
AAPL,2016-09-30 00:00:00+00:00,113.05,113.37,111.8,112.46,36379106,26.5856676434,26.6609211918,26.29170847,26.4469189136,145516424,0.0,1.0
AAPL,2016-10-03 00:00:00+00:00,112.52,113.05,112.28,112.71,21701760,26.4610289539,26.5856676434,26.4045887926,26.5057107482,86807040,0.0,1.0
